date,value
2021-01-04,3.9236
2021-01-05,3.9041
2021-01-06,3.9008
2021-01-07,3.8684
2021-01-08,3.8587
2021-01-11,3.889
2021-01-12,3.88
2021-01-13,3.8665
2021-01-14,3.879
2021-01-15,3.8921
2021-01-19,3.8789
2021-01-20,3.859
2021-01-21,3.8558
2021-01-22,3.8629
2021-01-25,3.8783
2021-01-26,3.8762
2021-01-27,4.0465
2021-01-28,3.9625
2021-01-29,3.9971
2021-02-01,3.9629
2021-02-02,3.9067
2021-02-03,3.8749
2021-02-04,3.8612
2021-02-05,3.8504
2021-02-08,3.8549
2021-02-09,3.8596
2021-02-10,3.8639
2021-02-11,3.855
2021-02-12,3.8396
2021-02-16,3.8575
2021-02-17,3.858
2021-02-18,3.8699
2021-02-19,3.8646
2021-02-22,3.8814
2021-02-23,3.8773
2021-02-24,3.8561
2021-02-25,3.9467
2021-02-26,3.9354
2021-03-01,3.8802
2021-03-02,3.8892
2021-03-03,3.92
2021-03-04,3.9428
2021-03-05,3.8959
2021-03-08,3.9056
2021-03-09,3.8884
2021-03-10,3.8707
2021-03-11,3.8629
2021-03-12,3.8483
2021-03-15,3.8404
2021-03-16,3.8375
2021-03-17,3.8308
2021-03-18,3.859
2021-03-19,3.8514
2021-03-22,3.8266
2021-03-23,3.8436
2021-03-24,3.8544
2021-03-25,3.8377
2021-03-26,3.8263
2021-03-29,3.8489
2021-03-30,3.8353
2021-03-31,3.8328
2021-04-01,3.808
2021-04-05,3.8149
2021-04-06,3.8174
2021-04-07,3.8059
2021-04-08,3.8034
2021-04-09,3.8003
2021-04-12,3.8029
2021-04-13,3.7998
2021-04-14,3.8039
2021-04-15,3.7988
2021-04-16,3.795
2021-04-19,3.8075
2021-04-20,3.8242
2021-04-21,3.81
2021-04-22,3.8245
2021-04-23,3.808
2021-04-26,3.8117
2021-04-27,3.8107
2021-04-28,3.8074
2021-04-29,3.8113
2021-04-30,3.8233
2021-05-03,3.8197
2021-05-04,3.8338
2021-05-05,3.8298
2021-05-06,3.8207
2021-05-07,3.8003
2021-05-10,3.8359
2021-05-11,3.8621
2021-05-12,3.9311
2021-05-13,3.8776
2021-05-14,3.8257
2021-05-17,3.8366
2021-05-18,3.8561
2021-05-19,3.8662
2021-05-20,3.848
2021-05-21,3.8418
2021-05-24,3.8208
2021-05-25,3.8261
2021-05-26,3.8083
2021-05-27,3.8009
2021-05-28,3.8011
2021-06-01,3.8148
2021-06-02,3.8098
