# Trendora candidate pool — J-22. Membership rule: S&P 500 ∪ Nasdaq-100 (real index constituents from Wikipedia) ∪ the prior committed universe.
# Built 2026-06-02 from Wikipedia REST constituent tables. The config screen (universe.filters) is applied to this pool by --screen; only passers become universe.symbols.
symbol,sector,source
A,Health Care,sp500
AAPL,Technology,sp500
ABBV,Health Care,sp500
ABNB,Consumer Discretionary,sp500
ABT,Health Care,sp500
ACGL,Financials,sp500
ACN,Technology,sp500
ADBE,Technology,sp500
ADI,Technology,sp500
ADM,Consumer Staples,sp500
ADP,Industrials,sp500
ADSK,Technology,sp500
AEE,Utilities,sp500
AEP,Utilities,sp500
AES,Utilities,sp500
AFL,Financials,sp500
AIG,Financials,sp500
AIZ,Financials,sp500
AJG,Financials,sp500
AKAM,Technology,sp500
ALB,Materials,sp500
ALGN,Health Care,sp500
ALL,Financials,sp500
ALLE,Industrials,sp500
ALNY,Health Care,nasdaq100
AMAT,Technology,sp500
AMCR,Materials,sp500
AMD,Technology,sp500
AME,Industrials,sp500
AMGN,Health Care,sp500
AMP,Financials,sp500
AMSC,Industrials,prior_universe
AMT,Real Estate,sp500
AMZN,Consumer Discretionary,sp500
ANET,Technology,sp500
AON,Financials,sp500
AOS,Industrials,sp500
APA,Energy,sp500
APD,Materials,sp500
APH,Technology,sp500
APO,Financials,sp500
APP,Technology,sp500
APTV,Consumer Discretionary,sp500
ARE,Real Estate,sp500
ARES,Financials,sp500
ARM,Technology,nasdaq100
ASML,Technology,nasdaq100
ATO,Utilities,sp500
AVB,Real Estate,sp500
AVGO,Technology,sp500
AVY,Materials,sp500
AWK,Utilities,sp500
AXON,Industrials,sp500
AXP,Financials,sp500
AZO,Consumer Discretionary,sp500
BA,Industrials,sp500
BAC,Financials,sp500
BALL,Materials,sp500
BAX,Health Care,sp500
BBY,Consumer Discretionary,sp500
BDX,Health Care,sp500
BEN,Financials,sp500
BF-B,Consumer Staples,sp500
BG,Consumer Staples,sp500
BIIB,Health Care,sp500
BKNG,Consumer Discretionary,sp500
BKR,Energy,sp500
BLDR,Industrials,sp500
BLK,Financials,sp500
BMY,Health Care,sp500
BNY,Financials,sp500
BR,Industrials,sp500
BRK-B,Financials,sp500
BRO,Financials,sp500
BSX,Health Care,sp500
BX,Financials,sp500
BXP,Real Estate,sp500
C,Financials,sp500
CAG,Consumer Staples,sp500
CAH,Health Care,sp500
CARR,Industrials,sp500
CASY,Consumer Staples,sp500
CAT,Industrials,sp500
CB,Financials,sp500
CBOE,Financials,sp500
CBRE,Real Estate,sp500
CCEP,Consumer Staples,nasdaq100
CCI,Real Estate,sp500
CCJ,Energy,prior_universe
CCL,Consumer Discretionary,sp500
CDNS,Technology,sp500
CDW,Technology,sp500
CEG,Utilities,sp500
CF,Materials,sp500
CFG,Financials,sp500
CHD,Consumer Staples,sp500
CHRW,Industrials,sp500
CHTR,Communication Services,sp500
CI,Health Care,sp500
CIEN,Technology,sp500
CINF,Financials,sp500
CL,Consumer Staples,sp500
CLSK,Financials,prior_universe
CLX,Consumer Staples,sp500
CMCSA,Communication Services,sp500
CME,Financials,sp500
CMG,Consumer Discretionary,sp500
CMI,Industrials,sp500
CMS,Utilities,sp500
CNC,Health Care,sp500
CNP,Utilities,sp500
COF,Financials,sp500
COHR,Technology,sp500
COIN,Financials,sp500
COO,Health Care,sp500
COP,Energy,sp500
COR,Health Care,sp500
COST,Consumer Staples,sp500
CPAY,Financials,sp500
CPB,Consumer Staples,sp500
CPRT,Industrials,sp500
CPT,Real Estate,sp500
CRH,Materials,sp500
CRL,Health Care,sp500
CRM,Technology,sp500
CRWD,Technology,sp500
CSCO,Technology,sp500
CSGP,Real Estate,sp500
CSX,Industrials,sp500
CTAS,Industrials,sp500
CTSH,Technology,sp500
CTVA,Materials,sp500
CVNA,Consumer Discretionary,sp500
CVS,Health Care,sp500
CVX,Energy,sp500
D,Utilities,sp500
DAL,Industrials,sp500
DASH,Consumer Discretionary,sp500
DD,Materials,sp500
DDOG,Technology,sp500
DE,Industrials,sp500
DECK,Consumer Discretionary,sp500
DELL,Technology,sp500
DG,Consumer Staples,sp500
DGX,Health Care,sp500
DHI,Consumer Discretionary,sp500
DHR,Health Care,sp500
DIS,Communication Services,sp500
DLR,Real Estate,sp500
DLTR,Consumer Staples,sp500
DNN,Energy,prior_universe
DOC,Real Estate,sp500
DOV,Industrials,sp500
DOW,Materials,sp500
DPZ,Consumer Discretionary,sp500
DRI,Consumer Discretionary,sp500
DTE,Utilities,sp500
DUK,Utilities,sp500
DVA,Health Care,sp500
DVN,Energy,sp500
DXCM,Health Care,sp500
EA,Communication Services,sp500
EBAY,Consumer Discretionary,sp500
ECL,Materials,sp500
ED,Utilities,sp500
EFX,Industrials,sp500
EG,Financials,sp500
EIX,Utilities,sp500
EL,Consumer Staples,sp500
ELV,Health Care,sp500
EME,Industrials,sp500
EMR,Industrials,sp500
ENTG,Technology,prior_universe
EOG,Energy,sp500
EPAM,Technology,sp500
EQIX,Real Estate,sp500
EQR,Real Estate,sp500
EQT,Energy,sp500
ERIE,Financials,sp500
ES,Utilities,sp500
ESS,Real Estate,sp500
ETN,Industrials,sp500
ETR,Utilities,sp500
EVRG,Utilities,sp500
EW,Health Care,sp500
EXC,Utilities,sp500
EXE,Energy,sp500
EXPD,Industrials,sp500
EXPE,Consumer Discretionary,sp500
EXR,Real Estate,sp500
F,Consumer Discretionary,sp500
FANG,Energy,sp500
FAST,Industrials,sp500
FCX,Materials,sp500
FDS,Financials,sp500
FDX,Industrials,sp500
FE,Utilities,sp500
FER,Industrials,nasdaq100
FFIV,Technology,sp500
FICO,Technology,sp500
FIS,Financials,sp500
FISV,Financials,sp500
FITB,Financials,sp500
FIX,Industrials,sp500
FOX,Communication Services,sp500
FOXA,Communication Services,sp500
FRT,Real Estate,sp500
FSLR,Technology,sp500
FTNT,Technology,sp500
FTV,Industrials,sp500
GD,Industrials,sp500
GDDY,Technology,sp500
GE,Industrials,sp500
GEHC,Health Care,sp500
GEN,Technology,sp500
GEV,Industrials,sp500
GFS,Technology,prior_universe
GILD,Health Care,sp500
GIS,Consumer Staples,sp500
GL,Financials,sp500
GLW,Technology,sp500
GM,Consumer Discretionary,sp500
GNRC,Industrials,sp500
GOOG,Communication Services,sp500
GOOGL,Communication Services,sp500
GPC,Consumer Discretionary,sp500
GPN,Financials,sp500
GRMN,Consumer Discretionary,sp500
GS,Financials,sp500
GWW,Industrials,sp500
HAL,Energy,sp500
HAS,Consumer Discretionary,sp500
HBAN,Financials,sp500
HCA,Health Care,sp500
